MAG	Pentose Phosphate Pathway	Glycolysis (Embden-Meyerhof pathway)	Pyruvate oxidation	Acetate production	Lactic acid production	Ethanol production	Bifid shunt	Phosphoketolase (heterolactic fermentation)	Succinic acid production	Lactate consumption	Reverse beta oxidation	Alternative fates of acyl-CoA species	Ferredoxin oxidation
UW_Xyl_LCO2	0	0.538461538	0.666666667	0.5	0	0	0.2	0	0.142857143	0	0.166666667	1	0.5
UW_Xyl_LAC6	0.5	0.461538462	0	0.5	1	0.5	0.6	0.75	0	0	0.666666667	0	0
UW_Xyl_LAC5	0	0.461538462	0	0.5	1	0.5	0.8	1	0.285714286	0	0.333333333	0	0
UW_Xyl_COR6	0.5	0.384615385	0.333333333	0.5	0.5	0	0	0	0	0.5	0.333333333	0	0
UW_Xyl_COR5	0.5	0.692307692	0.666666667	0.5	1	0	0.4	0	0.285714286	0	0.166666667	0	0.5
UW_Xyl_COR4	0	0.538461538	0.333333333	0	1	0	0.4	0	0	0	0.166666667	0	0.5
UW_Xyl_ACET1	0.5	0.538461538	0	0.5	0.5	0.5	0.8	0.75	0.285714286	1	0.666666667	0	0
UW_TS_TETRA1_1	0.5	0.461538462	0	0.5	0	0.5	0.8	0.5	0.285714286	1	0.833333333	0	0
UW_TS_SAP1_1	0	0.538461538	0	0	1	0	0.2	0	0.142857143	0	1	0	0
UW_TS_RUM1_1	0.5	0.461538462	0.666666667	0.5	0.5	0	0.2	0	0	0	0.166666667	1	0.5
UW_TS_PREV2_1	0.5	0.384615385	0.333333333	0.5	1	0	0.4	0	0.285714286	0	0	1	0
UW_TS_PREV1_1	1	0.538461538	0.333333333	0.5	0	0	0.4	0	0.285714286	0	0.166666667	0	0
UW_TS_PED3_1	0	0.461538462	0	0.5	1	0	0.6	0.5	0	0	0	0	0
UW_TS_PED2_1	0	0.615384615	0	0.5	1	0	0.6	0.75	0.142857143	0	0	0	0
UW_TS_PED1_1	0	0.615384615	0	0.5	1	0.5	0.6	0.75	0	0	0.166666667	0	0
UW_TS_PAENI1_1	1	0.538461538	0.333333333	0.5	1	0.5	0.6	1	0.428571429	0.5	0.5	0	0
UW_TS_NIT1_1	0.5	0.769230769	0	0.5	1	0.5	1	0.5	0.142857143	0	0.5	0	0
UW_TS_LIMLAC2_1	0.5	0.461538462	0	0.5	1	0	0.8	1	0.142857143	0	0.333333333	0	0
UW_TS_LIMLAC1_1	0	0.461538462	0	0.5	1	0.5	0.8	1	0.285714286	0	0.166666667	0	0
UW_TS_LEVLAC1_1	0	0.461538462	0	0.5	1	0.5	0.8	0.75	0	0.5	0.5	0	0
