feature,mean_importance
Phosphoglucomutase,-0.005155699104361251
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),-0.003999259705057034
5-10-methylenetetrahydrofolate_reductase_(NADH),-0.003942196715890034
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),-0.0028075984744537997
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),-0.0028075984744537997
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),-0.002807598474453796
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),-0.002807598474453796
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),-0.002807598474453796
NAD(P)_transhydrogenase,-0.002123455392541283
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),-0.0016704299764156382
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),-0.0016704299764156382
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),-0.0016704299764156356
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),-0.0016704299764156356
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),-0.0016704299764156356
Phosphopentomutase,-0.001296695026241021
Deoxyribokinase,-0.0011501288129349917
Ribokinase,-0.0011501288129349917
Phosphoenolpyruvate_carboxykinase_(ATP),-0.00089744326429827
Lactate_CoA_transferase_(acetyl-CoA),-0.0008629148260833414
Formate-tetrahydrofolate_ligase,-0.0006107587694935274
complex_Hydroxy-Acyl-CoA_Thioesterase,-0.0005249521128990131
Citrate_synthase,-0.0005027349651783947
Sedoheptulose_1-7-bisphosphate_aldolase,-0.00043889603831745726
2-dehydro-3-deoxy-phosphogluconate_aldolase,-0.00040419417956286954
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),-0.0003573271014134183
Malic_enzyme_(NADP),-0.0001344473498055887
Glucose-6-phosphate_isomerase,-8.948698095266605e-05
Lactose-galactose_antiporter,-8.784672311902553e-05
2-oxoglutarate_ferredoxin_oxidoreductase,-7.465400652515442e-05
Galactokinase,-3.0671839259213685e-05
3-hexulose-6-phosphate_synthase,-2.201840692971635e-05
D-glucose_transport_via_PEP-Pyr_PTS,-1.4071374490676192e-05
