feature,mean_importance
D-glucose_transport_via_PEP-Pyr_PTS,-0.00036492286686950023
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),-0.00026392005534608184
Lactoylglutathione_lyase,-0.0001709689466970921
Lactate_CoA_transferase_(acetyl-CoA),-0.0001705270560149926
5-10-methylenetetrahydrofolate_reductase_(NADH),-0.00015590087703167157
Phosphopentomutase,-0.0001429563814011794
Aspartate_transaminase,-0.00010114471235284309
Deoxyribose-phosphate_aldolase,-6.0212011827974864e-05
Phosphoglucomutase,-5.378700914069282e-05
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),-4.129567410893417e-05
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),-3.28271058125466e-05
Pyruvate_formate_lyase,-2.4582276064570326e-05
Isocitrate_dehydrogenase_(NADP),-1.8663231245139805e-05
Succinate-semialdehyde_dehydrogenase_(NADP),-1.749589543241169e-05
2-dehydro-3-deoxy-phosphogluconate_aldolase,-1.3028327385454854e-05
Deoxyribokinase,-9.856205698995569e-06
Acetyl-CoA_carboxylase,-7.183931868601223e-06
Citrate_synthase,-7.103036237108206e-06
6-phospho-beta-galactosidase,-4.69447007779033e-06
Glucose_6-phosphate_dehydrogenase,-4.220071850723249e-06
NAD(P)_transhydrogenase,-4.072959773377457e-06
Phosphogluconate_dehydrogenase_(NAD),-2.021843266643503e-06
3-hexulose-6-phosphate_synthase,-1.402738690889924e-06
Arabino-3-hexulose-6-P_Isomerase,-1.4019658306413384e-06
ATP_Citrate_Lyase,-8.613522996970147e-07
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C8),-4.6776851514479697e-07
Galactokinase,-4.495025206035369e-07
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C6),-4.45575436212051e-07
Phosphogluconate_dehydrogenase,-4.387782596344293e-07
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),-3.741301263541705e-08
Acetyl-CoA_C-acetyltransferase,-2.1377828052270356e-08
Fumarase,-1.8610687957691317e-08
Transketolase_2,-1.6373850651946532e-08
CoA_Transferase_(C8-0-C2-0),0.0
UDPglucose--hexose-1-phosphate_uridylyltransferase,0.0
complex_Acyl-CoA_Hydrolase_(C6-0),0.0
Phosphoglycerate_kinase,0.0
Acetate_kinase,0.0
Succinyl-CoA-acetate_CoA_transferase,0.0
complex_Acyl-CoA_Hydrolase_(C7-0),0.0
complex_Acyl-CoA_Hydrolase_(C8-0),0.0
complex_Acyl-CoA_Hydrolase_(C4-0),0.0
complex_CoA_Transferase_(C7-0-C2-0),0.0
Propionate_CoA_Transferase,0.0
Enolase,0.0
Hydroxyacylglutathione_hydrolase,0.0
6-phosphogluconolactonase,0.0
L-lactate_dehydrogenase,0.0
Hexokinase_(D-glucose-ATP),0.0
complex_ATP_Synthase,0.0
Propionyl-CoA_carboxylase,0.0
Formate-tetrahydrofolate_ligase,0.0
Succinate_Coa_ligase_ADP_forming,0.0
Acetyl-CoA_synthetase,0.0
Methylmalonyl-CoA_mutase,0.0
Glucose_6_phosphate_isomerase,0.0
complex_Acyl-CoA_Hydrolase_(C5-0),0.0
Xylose_isomerase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),0.0
Lactoyl_CoA_dehydratase,0.0
Aconitate_hydratase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.0
Pyruvate_decarboxylase,0.0
Fructose-bisphosphate_aldolase,0.0
Phosphoenolpyruvate_carboxylase,0.0
Oxaloacetate_decarboxylase,0.0
Inorganic_diphosphatase,0.0
Methylmalonyl-CoA_epimerase,0.0
Glycerol_kinase,0.0
Pyruvate_kinase,0.0
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
Lactose_transport_via_proton_symport,0.0
Acryloyl-CoA_reductase,0.0
Glycerol-3-phosphate_dehydrogenase_(NAD),0.0
Acyl-CoA_dehydrogenase_(octanoyl-CoA),0.0
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
Glyceraldehyde-3-phosphate_dehydrogenase,0.0
FMN_reductase,0.0
Aldehyde_dehydrogenase_formaldehyde_NAD,0.0
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),0.0
Lactose_transport_via_PEP-Pyr_PTS,0.0
Malic_enzyme_(NADP),0.0
Glycerol-3-phosphate_dehydrogenase_(NADP),0.0
Transaldolase,0.0
Ferredoxin---NADP+_reductase,0.0
2-Oxoglutarate_dehydrogenase,0.0
Acetyl-CoA_synthase,0.0
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,0.0
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.0
D-lactate_dehydrogenase,0.0
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,0.0
2-oxoglutarate_ferredoxin_oxidoreductase,0.0
Phosphoenolpyruvate_synthase,5.2627941067584505e-12
Malic_Enzyme_(NAD),2.7921473254137464e-10
Ribokinase,2.55135628166904e-09
Sedoheptulose_1-7-bisphosphate_aldolase,6.932511807319908e-09
D_galactose_transport_via_proton_symport,5.541184464104981e-08
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),7.127788943712445e-08
Acyl-CoA_dehydrogenase_(butanoyl-CoA),1.6568456517184088e-07
6-phosphogluconate_dehydratase,1.7117287476526612e-07
Lactate_racemase,6.621095181267873e-07
Aldose_1-epimerase,9.575414376947633e-07
Galactose-6-phosphate_isomerase,1.1790118912165943e-06
Lactose-galactose_antiporter,1.3314733218455083e-06
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),1.762774268527145e-06
Phosphoenolpyruvate_carboxykinase_(ATP),1.8599070126365004e-06
Ribose-5-phosphate_isomerase,3.145200102196719e-06
Alcohol_dehydrogenase_(ethanol),5.25224947107673e-06
Propanoyl-CoA-_succinate_CoA-transferase,5.585091698446501e-06
complex_Hydroxy-Acyl-CoA_Thioesterase,5.979056719011616e-06
B-galactosidase,7.426299072678952e-06
(FeFe)-hydrogenase-_cytoplasm,8.034156909744175e-06
Tagatose-bisphosphate_aldolase,8.373910588069851e-06
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),9.593111846314604e-06
complex_CoA_Transferase_(C6-0-C2-0),1.4297393565170436e-05
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),1.5699899761697057e-05
Gamma-hydroxybutyrate_dehydrogenase_(NADH),1.6605345928493537e-05
complex_CoA_Transferase_(C5-0-C2-0),1.6819109887219976e-05
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),2.8250235323221388e-05
Tagatose-6-phosphate_kinase,4.10092842207986e-05
Phosphoketolase_(xylulose-5-phosphate_utilizing),4.2245630016314074e-05
Phosphoglycerate_mutase,6.242029606578714e-05
Malate_dehydrogenase,6.453146634794482e-05
NAD_kinase,8.091737818700676e-05
Dihydroxyacetone_kinase,8.118725065107599e-05
Transketolase_1,9.291201208486434e-05
Phosphofructokinase,0.00013588918140884808
Succinate-semialdehyde_dehydrogenase_(NAD),0.00014662237952666536
Pyruvate_carboxylase,0.00015457838207587872
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,0.00025748476209624157
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.0004299215931840222
Lactaldehyde_dehydrogenase,0.0004569325147830007
Electron_bifurcating_lactate_dehydrogenase,0.0006219599461211596
Glucose-6-phosphate_isomerase,0.0007625805662336632
4-hydroxybutanoyl-CoA_dehydratase,0.0010794461090505906
D-xylose_transport_via_ABC_system,0.001641759308174599
Isocitrate_dehydrogenase_(NAD),0.004037119083008498
complex_Pyruvate_flavodoxin_oxidoreductase,0.008252280007445675
complex_CoA_Transferase_(C4-0-C2-0),0.008699888046602103
Methylglyoxal_synthase,0.013012449490192271
4-hydroxybutyrate_coenzyme_a_transferase,0.015518259778579952
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.02018963967333503
Xylulokinase,0.029386439715216716
Phosphoketolase_(fructose-6-phosphate_utilizing),0.22240389596761273
