feature,shap_importance
Phosphoketolase_(fructose-6-phosphate_utilizing),2.7201220108478887
Methylglyoxal_synthase,2.5736223667478146
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),2.3680266090103563
4-hydroxybutyrate_coenzyme_a_transferase,2.133829922231514
complex_Pyruvate_flavodoxin_oxidoreductase,2.128046911252617
complex_CoA_Transferase_(C4-0-C2-0),1.9080105654155188
Xylulokinase,1.5662366690335754
Isocitrate_dehydrogenase_(NAD),1.5120788969919092
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),0.9527695319331763
Glucose-6-phosphate_isomerase,0.8624059192361455
D-xylose_transport_via_ABC_system,0.8467985861701227
Electron_bifurcating_lactate_dehydrogenase,0.8013796068002835
4-hydroxybutanoyl-CoA_dehydratase,0.643980511106335
Phosphoglycerate_mutase,0.6052127361038191
Deoxyribose-phosphate_aldolase,0.6038625647868217
Lactaldehyde_dehydrogenase,0.567083919278766
Phosphoglucomutase,0.5023237434812151
Pyruvate_carboxylase,0.4905896362585875
Tagatose-6-phosphate_kinase,0.48657535713328715
Malate_dehydrogenase,0.4462335154478635
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,0.43511165103641936
D-glucose_transport_via_PEP-Pyr_PTS,0.40013701055438966
Phosphofructokinase,0.3451950728431834
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),0.3306934838158553
Lactate_CoA_transferase_(acetyl-CoA),0.32925347072706723
Phosphoketolase_(xylulose-5-phosphate_utilizing),0.3189818240528099
Lactoylglutathione_lyase,0.2773411771767179
Transketolase_1,0.2670947480557196
5-10-methylenetetrahydrofolate_reductase_(NADH),0.26304691739693553
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.2412694154213223
B-galactosidase,0.22351628540349158
(FeFe)-hydrogenase-_cytoplasm,0.22226279892997924
NAD_kinase,0.1795291893814087
Succinate-semialdehyde_dehydrogenase_(NAD),0.15872073507446474
Pyruvate_formate_lyase,0.13790463441919032
Isocitrate_dehydrogenase_(NADP),0.12638858126384978
Acetyl-CoA_carboxylase,0.12396254109758216
Propionate_CoA_Transferase,0.11273417902279327
2-dehydro-3-deoxy-phosphogluconate_aldolase,0.10636289285756048
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),0.09986861094933804
Phosphopentomutase,0.09766734052944308
Gamma-hydroxybutyrate_dehydrogenase_(NADH),0.09495895487121919
Tagatose-bisphosphate_aldolase,0.09075366914910146
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),0.0873241766187583
NAD(P)_transhydrogenase,0.0848481045093693
Dihydroxyacetone_kinase,0.0781721517138221
Propanoyl-CoA-_succinate_CoA-transferase,0.07053214545347915
complex_CoA_Transferase_(C5-0-C2-0),0.05778861801561163
Arabino-3-hexulose-6-P_Isomerase,0.05216512869805907
Aspartate_transaminase,0.05108580583103407
Ribose-5-phosphate_isomerase,0.04853423636342181
Glucose_6-phosphate_dehydrogenase,0.046837928803476606
Alcohol_dehydrogenase_(ethanol),0.04669898037995013
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),0.04528275419342596
complex_CoA_Transferase_(C6-0-C2-0),0.04062964708117344
D_galactose_transport_via_proton_symport,0.036664449879872836
Acyl-CoA_dehydrogenase_(butanoyl-CoA),0.03657168344878529
Lactose-galactose_antiporter,0.03356849944699322
Phosphoenolpyruvate_carboxykinase_(ATP),0.03099143048859601
Succinate-semialdehyde_dehydrogenase_(NADP),0.030452300597904314
