feature,mean_importance
Phosphopentomutase,-0.00043806742707436783
D_galactose_transport_via_proton_symport,-0.0003349863670089034
Inorganic_diphosphatase,-0.00011877695267850652
Phosphoglucomutase,-6.25163274393839e-05
Lactate_CoA_transferase_(acetyl-CoA),-6.0783572156321294e-05
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,-3.87069853869354e-05
Pyruvate_formate_lyase,-3.584858707406241e-05
Sedoheptulose_1-7-bisphosphate_aldolase,0.0
Fructose-bisphosphate_aldolase,0.0
Phosphoenolpyruvate_carboxylase,0.0
Oxaloacetate_decarboxylase,0.0
Ribokinase,0.0
Hydroxyacylglutathione_hydrolase,0.0
complex_Acyl-CoA_Hydrolase_(C5-0),0.0
complex_Acyl-CoA_Hydrolase_(C4-0),0.0
complex_Acyl-CoA_Hydrolase_(C8-0),0.0
complex_Acyl-CoA_Hydrolase_(C7-0),0.0
complex_Acyl-CoA_Hydrolase_(C6-0),0.0
CoA_Transferase_(C8-0-C2-0),0.0
complex_CoA_Transferase_(C7-0-C2-0),0.0
complex_CoA_Transferase_(C6-0-C2-0),0.0
3-hexulose-6-phosphate_synthase,0.0
complex_CoA_Transferase_(C5-0-C2-0),0.0
Succinyl-CoA-acetate_CoA_transferase,0.0
Glycerol_kinase,0.0
Propionate_CoA_Transferase,0.0
Phosphoenolpyruvate_synthase,0.0
UDPglucose--hexose-1-phosphate_uridylyltransferase,0.0
Phosphoglycerate_kinase,0.0
Acetate_kinase,0.0
Pyruvate_decarboxylase,0.0
Phosphoketolase_(xylulose-5-phosphate_utilizing),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),0.0
ATP_Citrate_Lyase,0.0
2-dehydro-3-deoxy-phosphogluconate_aldolase,0.0
6-phosphogluconate_dehydratase,0.0
6-phosphogluconolactonase,0.0
L-lactate_dehydrogenase,0.0
Hexokinase_(D-glucose-ATP),0.0
D-xylose_transport_via_ABC_system,0.0
complex_ATP_Synthase,0.0
Propionyl-CoA_carboxylase,0.0
Formate-tetrahydrofolate_ligase,0.0
Succinate_Coa_ligase_ADP_forming,0.0
Acetyl-CoA_synthetase,0.0
Methylmalonyl-CoA_mutase,0.0
Glucose-6-phosphate_isomerase,0.0
Glucose_6_phosphate_isomerase,0.0
Ribose-5-phosphate_isomerase,0.0
Xylose_isomerase,0.0
Arabino-3-hexulose-6-P_Isomerase,0.0
Galactose-6-phosphate_isomerase,0.0
Methylmalonyl-CoA_epimerase,0.0
Aldose_1-epimerase,0.0
Lactate_racemase,0.0
Lactoylglutathione_lyase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),0.0
Lactoyl_CoA_dehydratase,0.0
Fumarase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.0
Enolase,0.0
Citrate_synthase,0.0
Pyruvate_kinase,0.0
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,0.0
Lactose_transport_via_proton_symport,0.0
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,0.0
2-oxoglutarate_ferredoxin_oxidoreductase,0.0
Alcohol_dehydrogenase_(ethanol),0.0
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),0.0
Succinate-semialdehyde_dehydrogenase_(NADP),0.0
Aldehyde_dehydrogenase_formaldehyde_NAD,0.0
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),0.0
Succinate-semialdehyde_dehydrogenase_(NAD),0.0
Phosphogluconate_dehydrogenase,0.0
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.0
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.0
Glyceraldehyde-3-phosphate_dehydrogenase,0.0
2-Oxoglutarate_dehydrogenase,0.0
Phosphogluconate_dehydrogenase_(NAD),0.0
Ferredoxin---NADP+_reductase,0.0
Glucose_6-phosphate_dehydrogenase,0.0
Glycerol-3-phosphate_dehydrogenase_(NADP),0.0
Malic_Enzyme_(NAD),0.0
Glycerol-3-phosphate_dehydrogenase_(NAD),0.0
Malic_enzyme_(NADP),0.0
D-lactate_dehydrogenase,0.0
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),0.0
Acryloyl-CoA_reductase,0.0
complex_Hydroxy-Acyl-CoA_Thioesterase,0.0
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C6),0.0
Acetyl-CoA_C-acetyltransferase,0.0
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C8),0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
Acetyl-CoA_synthase,0.0
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),0.0
