feature,mean_importance
5-10-methylenetetrahydrofolate_reductase_(NADH),-6.857580351726316e-05
Phosphoglucomutase,-3.500869713424855e-05
Acetyl-CoA_carboxylase,-3.3848627521305445e-05
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),-2.5988162743719074e-05
Lactose-galactose_antiporter,-1.388437683614626e-05
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),-1.1138429600176212e-05
Galactokinase,-8.437241885901875e-06
Lactose_transport_via_PEP-Pyr_PTS,-7.457474650305728e-06
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,-3.179087179056364e-06
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),-2.299098741349176e-06
Glyceraldehyde-3-phosphate_dehydrogenase,0.0
Ferredoxin---NADP+_reductase,0.0
Propionate_CoA_Transferase,0.0
Phosphoglycerate_kinase,0.0
Acetate_kinase,0.0
Glucose_6_phosphate_isomerase,0.0
2-Oxoglutarate_dehydrogenase,0.0
Pyruvate_kinase,0.0
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,0.0
Acetyl-CoA_synthetase,0.0
Acryloyl-CoA_reductase,0.0
Pyruvate_decarboxylase,0.0
FMN_reductase,0.0
Methylmalonyl-CoA_mutase,0.0
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.0
Enolase,0.0
Propionyl-CoA_carboxylase,0.0
Glycerol-3-phosphate_dehydrogenase_(NAD),0.0
Glycerol-3-phosphate_dehydrogenase_(NADP),0.0
Acetyl-CoA_synthase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.0
Fructose-bisphosphate_aldolase,0.0
Lactose_transport_via_proton_symport,0.0
Oxaloacetate_decarboxylase,0.0
Succinyl-CoA-acetate_CoA_transferase,0.0
Hydroxyacylglutathione_hydrolase,0.0
complex_Acyl-CoA_Hydrolase_(C4-0),0.0
complex_Acyl-CoA_Hydrolase_(C8-0),0.0
complex_Acyl-CoA_Hydrolase_(C5-0),0.0
complex_Acyl-CoA_Hydrolase_(C7-0),0.0
complex_Acyl-CoA_Hydrolase_(C6-0),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),0.0
Methylmalonyl-CoA_epimerase,0.0
D-lactate_dehydrogenase,0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
3-hexulose-6-phosphate_synthase,3.7351213207428847e-10
Deoxyribokinase,1.3912836203770762e-08
Transaldolase,4.472531075000105e-08
Ribokinase,4.782551287539974e-08
Aldehyde_dehydrogenase_formaldehyde_NAD,1.5914856222954203e-07
ATP_Citrate_Lyase,1.8894666460947396e-07
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),1.9338652893002504e-07
Glycerol_kinase,3.5087807328222987e-07
6-phosphogluconolactonase,4.581803525553416e-07
Arabino-3-hexulose-6-P_Isomerase,5.463316258850527e-07
L-lactate_dehydrogenase,1.0671544019600494e-06
complex_Hydroxy-Acyl-CoA_Thioesterase,1.1004988431145314e-06
Malic_enzyme_(NADP),1.2317269813450632e-06
D_galactose_transport_via_proton_symport,1.3852365199206775e-06
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),1.4088050264906595e-06
NAD_kinase,1.4142163485467326e-06
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C8),2.566202115946402e-06
complex_ATP_Synthase,2.6298738324910876e-06
Aldose_1-epimerase,3.167569110203248e-06
Succinate_Coa_ligase_ADP_forming,3.3194741330739263e-06
Aspartate_transaminase,3.66197054503083e-06
Succinate-semialdehyde_dehydrogenase_(NADP),4.132822148816308e-06
Hexokinase_(D-glucose-ATP),6.138136121389398e-06
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),8.037066508233531e-06
Formate-tetrahydrofolate_ligase,8.086376371363187e-06
Tagatose-bisphosphate_aldolase,9.349093261745538e-06
Citrate_synthase,9.645511935276341e-06
6-phosphogluconate_dehydratase,9.983758886437151e-06
Alcohol_dehydrogenase_(ethanol),1.0997072224222005e-05
2-oxoglutarate_ferredoxin_oxidoreductase,1.1014828982145417e-05
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),1.1665031750216023e-05
Acetyl-CoA_C-acetyltransferase,1.173822957215246e-05
Lactoyl_CoA_dehydratase,1.3001121049964568e-05
Aconitate_hydratase,1.5398951191290376e-05
Fumarase,1.559151544808374e-05
Phosphoenolpyruvate_synthase,1.6796460961653396e-05
Phosphoenolpyruvate_carboxylase,1.6827292543959184e-05
Malic_Enzyme_(NAD),1.7704322623593102e-05
NAD(P)_transhydrogenase,1.8649998496935142e-05
Phosphogluconate_dehydrogenase,2.0175642085147952e-05
Xylose_isomerase,2.3759943586847913e-05
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),2.429872120368066e-05
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C6),2.501274191003119e-05
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,2.5048941678916872e-05
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),3.0063620641628246e-05
Gamma-hydroxybutyrate_dehydrogenase_(NADH),3.268957976689168e-05
6-phospho-beta-galactosidase,3.3196316097266856e-05
Lactoylglutathione_lyase,4.41355757703662e-05
Phosphopentomutase,4.657274114104118e-05
2-dehydro-3-deoxy-phosphogluconate_aldolase,4.9089656109783424e-05
Acyl-CoA_dehydrogenase_(octanoyl-CoA),5.214542706179224e-05
Sedoheptulose_1-7-bisphosphate_aldolase,5.45444058393841e-05
D-glucose_transport_via_PEP-Pyr_PTS,5.52095631085615e-05
Lactate_racemase,5.658526349234293e-05
Succinate-semialdehyde_dehydrogenase_(NAD),6.807969948860867e-05
Transketolase_2,7.030733733852214e-05
Isocitrate_dehydrogenase_(NADP),7.858057396691668e-05
(FeFe)-hydrogenase-_cytoplasm,8.144567014726993e-05
Acyl-CoA_dehydrogenase_(butanoyl-CoA),8.273618022250603e-05
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),8.959384281104869e-05
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),0.00010242416350543923
Phosphogluconate_dehydrogenase_(NAD),0.00010764321644793854
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),0.00010955572792756629
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),0.00011016529728578904
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),0.0001177712335339932
Lactate_CoA_transferase_(acetyl-CoA),0.00013885909944585316
Propanoyl-CoA-_succinate_CoA-transferase,0.00014647375472206955
Tagatose-6-phosphate_kinase,0.0001485483876694867
Lactaldehyde_dehydrogenase,0.0001558413538761857
Pyruvate_formate_lyase,0.0001582736972945634
Phosphofructokinase,0.00016046513029903042
Phosphoglycerate_mutase,0.00018748671686198522
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.00019576450634681587
Inorganic_diphosphatase,0.00019967159557925844
Glucose_6-phosphate_dehydrogenase,0.00020539708552105425
Glucose-6-phosphate_isomerase,0.00021026728567775403
4-hydroxybutanoyl-CoA_dehydratase,0.00021111303617693612
Phosphoenolpyruvate_carboxykinase_(ATP),0.0002442065016523893
Galactose-6-phosphate_isomerase,0.00027180347672732904
complex_CoA_Transferase_(C5-0-C2-0),0.00029282929194572393
Dihydroxyacetone_kinase,0.00029917221367609434
Isocitrate_dehydrogenase_(NAD),0.00031609801714131415
CoA_Transferase_(C8-0-C2-0),0.0003306911005058936
Phosphoketolase_(xylulose-5-phosphate_utilizing),0.0003924592637742916
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0004107866817524056
complex_CoA_Transferase_(C7-0-C2-0),0.00041616931678283085
complex_CoA_Transferase_(C6-0-C2-0),0.00043289761910992024
Transketolase_1,0.0004686767542297349
Malate_dehydrogenase,0.0005480233915984282
Ribose-5-phosphate_isomerase,0.00057786295450073
Deoxyribose-phosphate_aldolase,0.0006446135933447894
D-xylose_transport_via_ABC_system,0.0007001128705058668
Electron_bifurcating_lactate_dehydrogenase,0.0008686564825339558
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.0013750036862957159
UDPglucose--hexose-1-phosphate_uridylyltransferase,0.0014766279161757606
Pyruvate_carboxylase,0.0017187151059816653
B-galactosidase,0.0029412411664009506
Phosphoketolase_(fructose-6-phosphate_utilizing),0.0031351275088629185
complex_Pyruvate_flavodoxin_oxidoreductase,0.0037610649330639028
Methylglyoxal_synthase,0.004277830414797808
complex_CoA_Transferase_(C4-0-C2-0),0.004481279296985613
Xylulokinase,0.004508430741564234
4-hydroxybutyrate_coenzyme_a_transferase,0.018828753693839247
