feature,shap_importance
4-hydroxybutyrate_coenzyme_a_transferase,0.3336682362266358
complex_Pyruvate_flavodoxin_oxidoreductase,0.2105547453141036
complex_CoA_Transferase_(C6-0-C2-0),0.15591175467614057
complex_CoA_Transferase_(C5-0-C2-0),0.10378860908140758
Phosphoketolase_(fructose-6-phosphate_utilizing),0.08653957450748895
Methylglyoxal_synthase,0.042837465564738296
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.04043230659133938
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.0334572141777187
4-hydroxybutanoyl-CoA_dehydratase,0.03294644304002592
Oxaloacetate_decarboxylase,0.0
Phosphoenolpyruvate_carboxylase,0.0
Phosphoenolpyruvate_carboxykinase_(ATP),0.0
Fructose-bisphosphate_aldolase,0.0
Sedoheptulose_1-7-bisphosphate_aldolase,0.0
Deoxyribose-phosphate_aldolase,0.0
Enolase,0.0
6-phospho-beta-galactosidase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),0.0
Tagatose-bisphosphate_aldolase,0.0
3-hexulose-6-phosphate_synthase,0.0
Phosphoketolase_(xylulose-5-phosphate_utilizing),0.0
Inorganic_diphosphatase,0.0
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.0
B-galactosidase,0.0
complex_CoA_Transferase_(C4-0-C2-0),0.0
D-glucose_transport_via_PEP-Pyr_PTS,0.0
UDPglucose--hexose-1-phosphate_uridylyltransferase,0.0
Phosphoenolpyruvate_synthase,0.0
Propionate_CoA_Transferase,0.0
Succinyl-CoA-acetate_CoA_transferase,0.0
Propanoyl-CoA-_succinate_CoA-transferase,0.0
complex_CoA_Transferase_(C7-0-C2-0),0.0
Hydroxyacylglutathione_hydrolase,0.0
CoA_Transferase_(C8-0-C2-0),0.0
complex_Acyl-CoA_Hydrolase_(C6-0),0.0
complex_Acyl-CoA_Hydrolase_(C7-0),0.0
complex_Acyl-CoA_Hydrolase_(C8-0),0.0
complex_Acyl-CoA_Hydrolase_(C4-0),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),0.0
complex_Acyl-CoA_Hydrolase_(C5-0),0.0
Fumarase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.0
complex_ATP_Synthase,0.0
Acetyl-CoA_synthetase,0.0
Succinate_Coa_ligase_ADP_forming,0.0
Formate-tetrahydrofolate_ligase,0.0
Pyruvate_carboxylase,0.0
Acetyl-CoA_carboxylase,0.0
Propionyl-CoA_carboxylase,0.0
D-xylose_transport_via_ABC_system,0.0
Phosphopentomutase,0.0
Hexokinase_(D-glucose-ATP),0.0
L-lactate_dehydrogenase,0.0
6-phosphogluconolactonase,0.0
6-phosphogluconate_dehydratase,0.0
