feature,mean_importance
L-lactate_dehydrogenase,-4.4408920985006264e-17
Succinate-semialdehyde_dehydrogenase_(NAD),-3.3306690738754695e-17
Enolase,-3.3306690738754695e-17
D-glucose_transport_via_PEP-Pyr_PTS,-3.3306690738754695e-17
Aldehyde_dehydrogenase_formaldehyde_NAD,-3.3306690738754695e-17
Dihydroxyacetone_kinase,-3.3306690738754695e-17
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),-3.3306690738754695e-17
Aconitate_hydratase,-2.2204460492503132e-17
Methylglyoxal_synthase,-2.2204460492503132e-17
Malic_enzyme_(NADP),-2.2204460492503132e-17
Phosphoglycerate_kinase,-2.2204460492503132e-17
Glucose_6-phosphate_dehydrogenase,-2.2204460492503132e-17
Methylmalonyl-CoA_epimerase,-2.2204460492503132e-17
Glycerol-3-phosphate_dehydrogenase_(NADP),-2.2204460492503132e-17
Hydroxyacylglutathione_hydrolase,-2.2204460492503132e-17
Xylulokinase,-2.2204460492503132e-17
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,-2.2204460492503132e-17
Acetyl-CoA_carboxylase,-2.2204460492503132e-17
Propionyl-CoA_carboxylase,-2.2204460492503132e-17
complex_ATP_Synthase,-2.2204460492503132e-17
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),-2.2204460492503132e-17
6-phosphogluconate_dehydratase,-2.2204460492503132e-17
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C8),-2.2204460492503132e-17
Acetyl-CoA_synthase,-2.2204460492503132e-17
Phosphoglucomutase,-2.2204460492503132e-17
Ribokinase,-2.2204460492503132e-17
complex_Acyl-CoA_Hydrolase_(C4-0),-1.1102230246251566e-17
complex_Acyl-CoA_Hydrolase_(C8-0),-1.1102230246251566e-17
complex_Acyl-CoA_Hydrolase_(C7-0),-1.1102230246251566e-17
complex_Acyl-CoA_Hydrolase_(C6-0),-1.1102230246251566e-17
Succinyl-CoA-acetate_CoA_transferase,-1.1102230246251566e-17
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),-1.1102230246251566e-17
UDPglucose--hexose-1-phosphate_uridylyltransferase,-1.1102230246251566e-17
Phosphofructokinase,-1.1102230246251566e-17
Galactokinase,-1.1102230246251566e-17
Glycerol_kinase,-1.1102230246251566e-17
NAD_kinase,-1.1102230246251566e-17
Propionate_CoA_Transferase,-1.1102230246251566e-17
Acetate_kinase,-1.1102230246251566e-17
Tagatose-bisphosphate_aldolase,-1.1102230246251566e-17
Inorganic_diphosphatase,-1.1102230246251566e-17
2-dehydro-3-deoxy-phosphogluconate_aldolase,-1.1102230246251566e-17
6-phosphogluconolactonase,-1.1102230246251566e-17
Pyruvate_carboxylase,-1.1102230246251566e-17
Formate-tetrahydrofolate_ligase,-1.1102230246251566e-17
Succinate_Coa_ligase_ADP_forming,-1.1102230246251566e-17
Acetyl-CoA_synthetase,-1.1102230246251566e-17
Phosphoglycerate_mutase,-1.1102230246251566e-17
Xylose_isomerase,-1.1102230246251566e-17
6-phospho-beta-galactosidase,-1.1102230246251566e-17
Galactose-6-phosphate_isomerase,-1.1102230246251566e-17
Lactate_racemase,-1.1102230246251566e-17
Lactoylglutathione_lyase,-1.1102230246251566e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),-1.1102230246251566e-17
3-hexulose-6-phosphate_synthase,-1.1102230246251566e-17
Deoxyribose-phosphate_aldolase,-1.1102230246251566e-17
Sedoheptulose_1-7-bisphosphate_aldolase,-1.1102230246251566e-17
Phosphoenolpyruvate_carboxykinase_(ATP),-1.1102230246251566e-17
Oxaloacetate_decarboxylase,-1.1102230246251566e-17
Aldose_1-epimerase,-1.1102230246251566e-17
Tagatose-6-phosphate_kinase,-1.1102230246251566e-17
Pyruvate_kinase,-1.1102230246251566e-17
Lactate_CoA_transferase_(acetyl-CoA),-1.1102230246251566e-17
(FeFe)-hydrogenase-_cytoplasm,-1.1102230246251566e-17
2-Oxoglutarate_dehydrogenase,-1.1102230246251566e-17
Lactaldehyde_dehydrogenase,-1.1102230246251566e-17
Malate_dehydrogenase,-1.1102230246251566e-17
Succinate-semialdehyde_dehydrogenase_(NADP),-1.1102230246251566e-17
D-lactate_dehydrogenase,-1.1102230246251566e-17
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),-1.1102230246251566e-17
Acryloyl-CoA_reductase,-1.1102230246251566e-17
Gamma-hydroxybutyrate_dehydrogenase_(NADH),-1.1102230246251566e-17
D_galactose_transport_via_proton_symport,-1.1102230246251566e-17
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),-1.1102230246251566e-17
Lactose_transport_via_PEP-Pyr_PTS,-1.1102230246251566e-17
5-10-methylenetetrahydrofolate_reductase_(NADH),-1.1102230246251566e-17
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),-1.1102230246251566e-17
NAD(P)_transhydrogenase,-1.1102230246251566e-17
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),-1.1102230246251566e-17
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),-1.1102230246251566e-17
Acetyl-CoA_C-acetyltransferase,-1.1102230246251566e-17
Pyruvate_formate_lyase,-1.1102230246251566e-17
FMN_reductase,-1.1102230246251566e-17
Transketolase_1,-1.1102230246251566e-17
Phosphogluconate_dehydrogenase,-1.1102230246251566e-17
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),-1.1102230246251566e-17
Methylmalonyl-CoA_mutase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.0
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C6),0.0
Fumarase,0.0
Lactoyl_CoA_dehydratase,0.0
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),0.0
Malic_Enzyme_(NAD),0.0
Lactose-galactose_antiporter,0.0
Lactose_transport_via_proton_symport,0.0
complex_Hydroxy-Acyl-CoA_Thioesterase,0.0
Phosphogluconate_dehydrogenase_(NAD),0.0
Alcohol_dehydrogenase_(ethanol),0.0
Arabino-3-hexulose-6-P_Isomerase,0.0
Hexokinase_(D-glucose-ATP),0.0
Ribose-5-phosphate_isomerase,0.0
D-xylose_transport_via_ABC_system,0.0
Glucose_6_phosphate_isomerase,0.0
Glucose-6-phosphate_isomerase,0.0
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),0.0
Phosphopentomutase,0.0
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.0
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.0
Ferredoxin---NADP+_reductase,0.0
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),0.0
Acyl-CoA_dehydrogenase_(butanoyl-CoA),0.0
Propanoyl-CoA-_succinate_CoA-transferase,0.0
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
