feature,shap_importance
Xylulokinase,0.9805193073660698
Isocitrate_dehydrogenase_(NADP),0.7817218501088211
Isocitrate_dehydrogenase_(NAD),0.7817218501088211
complex_Pyruvate_flavodoxin_oxidoreductase,0.6056826410465106
Transketolase_1,0.5623666471392059
Phosphoglucomutase,0.5367171922108296
5-10-methylenetetrahydrofolate_reductase_(NADH),0.5255890245107263
Tagatose-bisphosphate_aldolase,0.5078064495883594
Tagatose-6-phosphate_kinase,0.49635854051994494
Galactose-6-phosphate_isomerase,0.46908648050662194
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),0.45769060886551916
Aldose_1-epimerase,0.45415523855008033
Phosphofructokinase,0.44532472641781107
Galactokinase,0.4301526109901022
Lactaldehyde_dehydrogenase,0.4201432900569606
Succinate-semialdehyde_dehydrogenase_(NADP),0.416301573781403
L-lactate_dehydrogenase,0.4038342972705426
Succinate-semialdehyde_dehydrogenase_(NAD),0.3996843456983207
complex_Hydroxy-Acyl-CoA_Thioesterase,0.3885815882160595
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.38159068566011556
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),0.38159068566011556
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),0.38159068566011556
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.38159068566011556
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),0.38159068566011556
NAD(P)_transhydrogenase,0.3489489877757675
B-galactosidase,0.3049997271575149
Phosphopentomutase,0.30461206900185844
Citrate_synthase,0.3023937794906814
Deoxyribose-phosphate_aldolase,0.29704856506066835
Electron_bifurcating_lactate_dehydrogenase,0.2733941153218869
Acetyl-CoA_C-acetyltransferase,0.25783717802823386
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),0.25783717802823386
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,0.25783717802823386
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,0.25783717802823386
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.25783717802823386
6-phosphogluconate_dehydratase,0.2497364285071485
Pyruvate_formate_lyase,0.2401593369548421
4-hydroxybutyrate_coenzyme_a_transferase,0.2337518081037644
NAD_kinase,0.2294724051403375
Malate_dehydrogenase,0.21754512733832035
Pyruvate_carboxylase,0.21694053418835696
Ribokinase,0.21585370153130895
Deoxyribokinase,0.21585370153130895
complex_CoA_Transferase_(C5-0-C2-0),0.20388164941260878
complex_CoA_Transferase_(C7-0-C2-0),0.20388164941260878
complex_CoA_Transferase_(C4-0-C2-0),0.20388164941260878
complex_CoA_Transferase_(C6-0-C2-0),0.20388164941260878
CoA_Transferase_(C8-0-C2-0),0.20388164941260878
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),0.20148481184051525
2-dehydro-3-deoxy-phosphogluconate_aldolase,0.1910729091923944
Phosphoketolase_(xylulose-5-phosphate_utilizing),0.1866652761957064
Phosphoketolase_(fructose-6-phosphate_utilizing),0.1866652761957064
6-phospho-beta-galactosidase,0.18508973167843562
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.1843901513407161
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),0.1843901513407161
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),0.1843901513407161
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),0.1843901513407161
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),0.1843901513407161
Lactate_racemase,0.17724743587594147
Methylglyoxal_synthase,0.16843635684550007
D-xylose_transport_via_ABC_system,0.15960164845096406
UDPglucose--hexose-1-phosphate_uridylyltransferase,0.15439517691964996
Glucose-6-phosphate_isomerase,0.1510669772801751
Phosphoenolpyruvate_carboxykinase_(ATP),0.14495083890076446
Glucose_6-phosphate_dehydrogenase,0.13801479057730084
Ribose-5-phosphate_isomerase,0.1351717937851281
