feature,shap_importance
complex_Pyruvate_flavodoxin_oxidoreductase,1.8916636
Methylglyoxal_synthase,1.773973
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),1.6195111
Phosphoketolase_(fructose-6-phosphate_utilizing),1.0518391
Xylulokinase,0.8566661
4-hydroxybutyrate_coenzyme_a_transferase,0.834504
complex_CoA_Transferase_(C4-0-C2-0),0.7579494
B-galactosidase,0.5666299
Deoxyribose-phosphate_aldolase,0.5401828
Isocitrate_dehydrogenase_(NAD),0.4417935
Electron_bifurcating_lactate_dehydrogenase,0.37242547
5-10-methylenetetrahydrofolate_reductase_(NADH),0.37233078
Malate_dehydrogenase,0.32187793
4-hydroxybutanoyl-CoA_dehydratase,0.25535285
Transketolase_1,0.20328428
Pyruvate_carboxylase,0.18385887
Phosphoglycerate_mutase,0.13274238
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.12418125
Dihydroxyacetone_kinase,0.119447626
Phosphoenolpyruvate_carboxykinase_(ATP),0.10684939
Propionate_CoA_Transferase,0.10403529
Phosphopentomutase,0.0889839
Phosphofructokinase,0.08805596
Acetyl-CoA_carboxylase,0.0731873
Aspartate_transaminase,0.05436834
Phosphoglucomutase,0.051823303
NAD_kinase,0.05110347
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),0.03726809
Galactokinase,0.036502253
D_galactose_transport_via_proton_symport,0.03209148
(FeFe)-hydrogenase-_cytoplasm,0.024119658
Gamma-hydroxybutyrate_dehydrogenase_(NADH),0.023840208
Acyl-CoA_dehydrogenase_(butanoyl-CoA),0.022123367
D-glucose_transport_via_PEP-Pyr_PTS,0.021254111
Aconitate_hydratase,0.019131921
Tagatose-6-phosphate_kinase,0.015049994
Tagatose-bisphosphate_aldolase,0.013105255
Deoxyribokinase,0.010338157
6-phospho-beta-galactosidase,0.010022934
Propanoyl-CoA-_succinate_CoA-transferase,0.008406738
NAD(P)_transhydrogenase,0.0058758114
Inorganic_diphosphatase,0.0058687697
Lactate_CoA_transferase_(acetyl-CoA),0.0056996327
Lactose-galactose_antiporter,0.0046591368
Pyruvate_formate_lyase,0.0036188106
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,0.0034651263
Lactaldehyde_dehydrogenase,0.0028226709
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),0.0020040225
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),0.0019031565
Lactose_transport_via_proton_symport,0.0
Oxaloacetate_decarboxylase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),0.0
Lactoyl_CoA_dehydratase,0.0
Fumarase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.0
Sedoheptulose_1-7-bisphosphate_aldolase,0.0
Phosphoenolpyruvate_carboxylase,0.0
Enolase,0.0
Alcohol_dehydrogenase_(ethanol),0.0
Lactose_transport_via_PEP-Pyr_PTS,0.0
3-hexulose-6-phosphate_synthase,0.0
Fructose-bisphosphate_aldolase,0.0
Phosphoketolase_(xylulose-5-phosphate_utilizing),0.0
