feature,mean_importance
5-10-methylenetetrahydrofolate_reductase_(NADH),-6.914823326613011e-05
Phosphoglucomutase,-3.4995127696835995e-05
Acetyl-CoA_carboxylase,-3.469868884904423e-05
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),-2.6899706393762773e-05
Lactose-galactose_antiporter,-1.4294650242660262e-05
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),-1.1259317029581154e-05
Galactokinase,-8.796033244068587e-06
Lactose_transport_via_PEP-Pyr_PTS,-7.550709579421094e-06
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,-3.258226428237438e-06
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),-2.1487095085042858e-06
Phosphoglycerate_kinase,0.0
Ferredoxin---NADP+_reductase,0.0
2-Oxoglutarate_dehydrogenase,0.0
Glyceraldehyde-3-phosphate_dehydrogenase,0.0
Acetate_kinase,0.0
Glucose_6_phosphate_isomerase,0.0
Pyruvate_kinase,0.0
Pyruvate_decarboxylase,0.0
Glycerol-3-phosphate_dehydrogenase_(NADP),0.0
Acryloyl-CoA_reductase,0.0
Methylmalonyl-CoA_mutase,0.0
FMN_reductase,0.0
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.0
Acetyl-CoA_synthetase,0.0
Enolase,0.0
Propionyl-CoA_carboxylase,0.0
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,0.0
Glycerol-3-phosphate_dehydrogenase_(NAD),0.0
Succinyl-CoA-acetate_CoA_transferase,0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),0.0
3-hexulose-6-phosphate_synthase,0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.0
Fructose-bisphosphate_aldolase,0.0
Oxaloacetate_decarboxylase,0.0
Lactose_transport_via_proton_symport,0.0
Propionate_CoA_Transferase,0.0
complex_Acyl-CoA_Hydrolase_(C5-0),0.0
complex_Acyl-CoA_Hydrolase_(C4-0),0.0
Hydroxyacylglutathione_hydrolase,0.0
complex_Acyl-CoA_Hydrolase_(C7-0),0.0
Methylmalonyl-CoA_epimerase,0.0
complex_Acyl-CoA_Hydrolase_(C8-0),0.0
complex_Acyl-CoA_Hydrolase_(C6-0),0.0
Acetyl-CoA_synthase,0.0
D-lactate_dehydrogenase,0.0
Ribokinase,3.61100925039097e-08
Transaldolase,4.830559125392625e-08
Deoxyribokinase,1.1585164999428771e-07
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),1.1603941592053247e-07
Aldehyde_dehydrogenase_formaldehyde_NAD,1.6111618384917134e-07
ATP_Citrate_Lyase,2.006477861391659e-07
Glycerol_kinase,4.310962428036129e-07
6-phosphogluconolactonase,4.913734243089558e-07
Arabino-3-hexulose-6-P_Isomerase,5.905977870534172e-07
L-lactate_dehydrogenase,1.0308552443195027e-06
Malic_enzyme_(NADP),1.297969733466374e-06
D_galactose_transport_via_proton_symport,1.4707214726301065e-06
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),1.6120863864771927e-06
NAD_kinase,1.8381822878479372e-06
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C8),2.7654255160613346e-06
complex_ATP_Synthase,2.766931296901195e-06
Succinate_Coa_ligase_ADP_forming,3.4379077144229553e-06
complex_Hydroxy-Acyl-CoA_Thioesterase,3.439057671515266e-06
Aldose_1-epimerase,3.4551160458314025e-06
Aspartate_transaminase,3.795750985972641e-06
Succinate-semialdehyde_dehydrogenase_(NADP),4.338232766183582e-06
Hexokinase_(D-glucose-ATP),6.470841788795007e-06
Formate-tetrahydrofolate_ligase,8.365003270838484e-06
Tagatose-bisphosphate_aldolase,9.659408083804132e-06
Citrate_synthase,9.793536809963449e-06
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),9.882078325553367e-06
6-phosphogluconate_dehydratase,1.05864234604576e-05
Alcohol_dehydrogenase_(ethanol),1.161774026221642e-05
2-oxoglutarate_ferredoxin_oxidoreductase,1.1638198068510218e-05
Acetyl-CoA_C-acetyltransferase,1.2060330619590234e-05
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),1.259635371675073e-05
Lactoyl_CoA_dehydratase,1.3760853762479103e-05
Fumarase,1.6268478772419812e-05
Aconitate_hydratase,1.6432144422872263e-05
Phosphoenolpyruvate_carboxylase,1.760861290787249e-05
Phosphoenolpyruvate_synthase,1.762962583837192e-05
Malic_Enzyme_(NAD),1.8297142558953203e-05
NAD(P)_transhydrogenase,1.9516202770557182e-05
Phosphogluconate_dehydrogenase,2.0691619356563285e-05
Xylose_isomerase,2.504941770140783e-05
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),2.5563349774929566e-05
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,2.640697359353357e-05
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C6),2.674391001622487e-05
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),3.161233399259595e-05
Gamma-hydroxybutyrate_dehydrogenase_(NADH),3.461772359640665e-05
6-phospho-beta-galactosidase,3.522172280226374e-05
Lactoylglutathione_lyase,4.5368117872151076e-05
Phosphopentomutase,4.924811484537522e-05
2-dehydro-3-deoxy-phosphogluconate_aldolase,5.16758582706652e-05
Acyl-CoA_dehydrogenase_(octanoyl-CoA),5.497082066656111e-05
Sedoheptulose_1-7-bisphosphate_aldolase,5.74573846512055e-05
D-glucose_transport_via_PEP-Pyr_PTS,5.942628455757604e-05
Lactate_racemase,5.956997738693175e-05
Succinate-semialdehyde_dehydrogenase_(NAD),7.210454432505135e-05
Transketolase_2,7.44046472598927e-05
Isocitrate_dehydrogenase_(NADP),8.406514659511176e-05
(FeFe)-hydrogenase-_cytoplasm,8.538749475697233e-05
Acyl-CoA_dehydrogenase_(butanoyl-CoA),8.611460743825845e-05
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),9.555575398578443e-05
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),0.00010940426448674658
Phosphogluconate_dehydrogenase_(NAD),0.00011315020555233511
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),0.0001152579306868377
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),0.00011570692980636052
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),0.00012381088889771522
Lactate_CoA_transferase_(acetyl-CoA),0.00014610547867999522
Propanoyl-CoA-_succinate_CoA-transferase,0.00015423191711031744
Tagatose-6-phosphate_kinase,0.00015582198808475326
Lactaldehyde_dehydrogenase,0.00016390221518511778
Pyruvate_formate_lyase,0.00016425182236513334
Phosphofructokinase,0.00016910636596212652
Phosphoglycerate_mutase,0.00019635927327409818
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.0002056362367980114
Inorganic_diphosphatase,0.00020670185796798176
Glucose_6-phosphate_dehydrogenase,0.00021696083112716065
4-hydroxybutanoyl-CoA_dehydratase,0.0002185319879768533
Glucose-6-phosphate_isomerase,0.00021930621995826854
Phosphoenolpyruvate_carboxykinase_(ATP),0.0002615996393532688
Galactose-6-phosphate_isomerase,0.0002858091780642665
complex_CoA_Transferase_(C5-0-C2-0),0.0003090373159327645
Dihydroxyacetone_kinase,0.0003093705081171262
Isocitrate_dehydrogenase_(NAD),0.0003298588392656526
CoA_Transferase_(C8-0-C2-0),0.0003493723320398761
Phosphoketolase_(xylulose-5-phosphate_utilizing),0.0004170635840700421
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0004322578242973086
complex_CoA_Transferase_(C7-0-C2-0),0.000438762170130121
complex_CoA_Transferase_(C6-0-C2-0),0.00045743885174376754
Transketolase_1,0.00048704977552120854
Malate_dehydrogenase,0.0005715592097651679
Ribose-5-phosphate_isomerase,0.0006061620213968967
Deoxyribose-phosphate_aldolase,0.0006744239670218306
D-xylose_transport_via_ABC_system,0.0007315287718606852
Electron_bifurcating_lactate_dehydrogenase,0.000908416055353212
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.0014421957343845435
UDPglucose--hexose-1-phosphate_uridylyltransferase,0.0015279789516495963
Pyruvate_carboxylase,0.0017861893958341778
B-galactosidase,0.0030695767071833775
Phosphoketolase_(fructose-6-phosphate_utilizing),0.003224277707624697
complex_Pyruvate_flavodoxin_oxidoreductase,0.003932016998008251
Methylglyoxal_synthase,0.00444769213335477
complex_CoA_Transferase_(C4-0-C2-0),0.004553641310089804
Xylulokinase,0.004647937430553523
