feature,mean_importance
Transketolase_2,-0.011571371529751073
Succinate-semialdehyde_dehydrogenase_(NADP),-0.007501336148651528
Lactaldehyde_dehydrogenase,-0.0049997005857564504
Phosphoglycerate_mutase,-0.004099941257453605
Sedoheptulose_1-7-bisphosphate_aldolase,-0.00404058865720251
NAD(P)_transhydrogenase,-0.003554795609890221
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,-0.00341614872093336
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,-0.0033416409357854004
Galactokinase,-0.0028670626351036898
4-hydroxybutanoyl-CoA_dehydratase,-0.002295100886506507
Lactate_CoA_transferase_(acetyl-CoA),-0.002011775010927552
Lactoylglutathione_lyase,-0.0015573132959761816
(FeFe)-hydrogenase-_cytoplasm,-0.0015143269640834067
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),-0.001215766473804014
Gamma-hydroxybutyrate_dehydrogenase_(NADH),-0.0009777703165489815
D_galactose_transport_via_proton_symport,-0.0007947653532231203
4-hydroxybutyrate_coenzyme_a_transferase,-0.0005358637574910563
Phosphoenolpyruvate_synthase,-0.0004841033733402167
Xylose_isomerase,-0.00034339299824552306
complex_ATP_Synthase,-0.00017088161925419288
Succinate_Coa_ligase_ADP_forming,-7.362134285067712e-05
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),-2.6700279400815318e-05
Pyruvate_decarboxylase,0.0
Acetate_kinase,0.0
Phosphoglycerate_kinase,0.0
Acetyl-CoA_synthase,0.0
complex_Acyl-CoA_Hydrolase_(C8-0),0.0
Succinyl-CoA-acetate_CoA_transferase,0.0
complex_Acyl-CoA_Hydrolase_(C6-0),0.0
complex_Acyl-CoA_Hydrolase_(C7-0),0.0
FMN_reductase,0.0
complex_Acyl-CoA_Hydrolase_(C4-0),0.0
complex_Acyl-CoA_Hydrolase_(C5-0),0.0
Hydroxyacylglutathione_hydrolase,0.0
Oxaloacetate_decarboxylase,0.0
Fructose-bisphosphate_aldolase,0.0
Enolase,0.0
Methylmalonyl-CoA_epimerase,0.0
Glucose_6_phosphate_isomerase,0.0
Methylmalonyl-CoA_mutase,0.0
Acetyl-CoA_synthetase,0.0
Propionate_CoA_Transferase,0.0
Acryloyl-CoA_reductase,0.0
Pyruvate_kinase,0.0
D-lactate_dehydrogenase,0.0
Lactose_transport_via_proton_symport,0.0
Glycerol-3-phosphate_dehydrogenase_(NAD),0.0
Glycerol-3-phosphate_dehydrogenase_(NADP),0.0
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,0.0
Ferredoxin---NADP+_reductase,0.0
Glyceraldehyde-3-phosphate_dehydrogenase,0.0
2-Oxoglutarate_dehydrogenase,0.0
Propionyl-CoA_carboxylase,6.788209732238592e-05
Aldehyde_dehydrogenase_formaldehyde_NAD,7.923697432625776e-05
Lactate_racemase,8.408544861252532e-05
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),0.00018921997266848622
Lactoyl_CoA_dehydratase,0.0002679223009660725
Methylglyoxal_synthase,0.0005419622165464821
2-oxoglutarate_ferredoxin_oxidoreductase,0.000601706727264123
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),0.000980781316867302
complex_CoA_Transferase_(C4-0-C2-0),0.001037681226463627
Arabino-3-hexulose-6-P_Isomerase,0.0010721531079817825
Transaldolase,0.0011150091559053222
ATP_Citrate_Lyase,0.0011463546068281206
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),0.0011862919131733762
Phosphofructokinase,0.001380967416389628
Deoxyribokinase,0.0014048349542104322
complex_CoA_Transferase_(C5-0-C2-0),0.0014133835798274153
D-glucose_transport_via_PEP-Pyr_PTS,0.0014970505515411903
Malic_enzyme_(NADP),0.001550441453375706
Malic_Enzyme_(NAD),0.0018317060406283447
Glycerol_kinase,0.0018633026347438298
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),0.0018689226881777766
NAD_kinase,0.002076280471310088
Fumarase,0.00207689673952135
5-10-methylenetetrahydrofolate_reductase_(NADH),0.0021273492003873796
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.002172940911499388
6-phosphogluconolactonase,0.0021979811159344165
3-hexulose-6-phosphate_synthase,0.002227304984661338
Formate-tetrahydrofolate_ligase,0.0022504142832896977
Inorganic_diphosphatase,0.0023232301060130247
Dihydroxyacetone_kinase,0.002336323180662114
2-dehydro-3-deoxy-phosphogluconate_aldolase,0.0023603808238884414
Lactose_transport_via_PEP-Pyr_PTS,0.0023751913353414755
6-phosphogluconate_dehydratase,0.0026449907905163883
Phosphoenolpyruvate_carboxykinase_(ATP),0.002823775624618702
Pyruvate_carboxylase,0.0030368994627517354
Phosphoenolpyruvate_carboxylase,0.0032819104986902157
Hexokinase_(D-glucose-ATP),0.0033054110596926313
