feature,mean_importance
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),-1.1102230246251565e-16
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),-8.881784197001253e-17
Propanoyl-CoA-_succinate_CoA-transferase,-8.881784197001253e-17
Aconitate_hydratase,-8.881784197001253e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),-8.881784197001253e-17
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),-8.881784197001253e-17
Enolase,-8.881784197001253e-17
Acetyl-CoA_synthetase,-8.881784197001253e-17
L-lactate_dehydrogenase,-8.881784197001253e-17
FMN_reductase,-8.881784197001253e-17
Ribokinase,-8.881784197001253e-17
Transaldolase,-6.661338147750939e-17
Sedoheptulose_1-7-bisphosphate_aldolase,-6.661338147750939e-17
complex_Acyl-CoA_Hydrolase_(C6-0),-6.661338147750939e-17
Lactoylglutathione_lyase,-6.661338147750939e-17
Phosphoketolase_(xylulose-5-phosphate_utilizing),-6.661338147750939e-17
complex_Acyl-CoA_Hydrolase_(C7-0),-6.661338147750939e-17
Succinate-semialdehyde_dehydrogenase_(NADP),-6.661338147750939e-17
Acetyl-CoA_synthase,-6.661338147750939e-17
Electron_bifurcating_lactate_dehydrogenase,-6.661338147750939e-17
Propionate_CoA_Transferase,-6.661338147750939e-17
Phosphoenolpyruvate_carboxykinase_(ATP),-6.661338147750939e-17
5-10-methylenetetrahydrofolate_reductase_(NADH),-6.661338147750939e-17
Acryloyl-CoA_reductase,-6.661338147750939e-17
Methylmalonyl-CoA_epimerase,-6.661338147750939e-17
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C8),-6.661338147750939e-17
Tagatose-6-phosphate_kinase,-6.661338147750939e-17
Hexokinase_(D-glucose-ATP),-6.661338147750939e-17
complex_ATP_Synthase,-6.661338147750939e-17
Acetyl-CoA_carboxylase,-6.661338147750939e-17
Formate-tetrahydrofolate_ligase,-6.661338147750939e-17
Phosphoglycerate_kinase,-6.661338147750939e-17
Alcohol_dehydrogenase_(ethanol),-6.661338147750939e-17
Phosphopentomutase,-6.661338147750939e-17
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),-6.661338147750939e-17
Phosphoglucomutase,-6.661338147750939e-17
Ribose-5-phosphate_isomerase,-6.661338147750939e-17
Xylose_isomerase,-6.661338147750939e-17
Arabino-3-hexulose-6-P_Isomerase,-6.661338147750939e-17
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),-6.661338147750939e-17
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,-6.661338147750939e-17
complex_Acyl-CoA_Hydrolase_(C4-0),-4.4408920985006264e-17
Pyruvate_kinase,-4.4408920985006264e-17
UDPglucose--hexose-1-phosphate_uridylyltransferase,-4.4408920985006264e-17
D-glucose_transport_via_PEP-Pyr_PTS,-4.4408920985006264e-17
Acetate_kinase,-4.4408920985006264e-17
complex_Acyl-CoA_Hydrolase_(C8-0),-4.4408920985006264e-17
Phosphoenolpyruvate_synthase,-4.4408920985006264e-17
Fructose-bisphosphate_aldolase,-4.4408920985006264e-17
Hydroxyacylglutathione_hydrolase,-4.4408920985006264e-17
2-dehydro-3-deoxy-phosphogluconate_aldolase,-4.4408920985006264e-17
6-phosphogluconate_dehydratase,-4.4408920985006264e-17
6-phosphogluconolactonase,-4.4408920985006264e-17
Succinate_Coa_ligase_ADP_forming,-4.4408920985006264e-17
Phosphoglycerate_mutase,-4.4408920985006264e-17
Galactose-6-phosphate_isomerase,-4.4408920985006264e-17
Aldose_1-epimerase,-4.4408920985006264e-17
Lactate_racemase,-4.4408920985006264e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),-4.4408920985006264e-17
Lactoyl_CoA_dehydratase,-4.4408920985006264e-17
Fumarase,-4.4408920985006264e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),-4.4408920985006264e-17
Deoxyribose-phosphate_aldolase,-4.4408920985006264e-17
Phosphofructokinase,-4.4408920985006264e-17
Phosphoenolpyruvate_carboxylase,-4.4408920985006264e-17
Oxaloacetate_decarboxylase,-4.4408920985006264e-17
Inorganic_diphosphatase,-4.4408920985006264e-17
6-phospho-beta-galactosidase,-4.4408920985006264e-17
B-galactosidase,-4.4408920985006264e-17
complex_Acyl-CoA_Hydrolase_(C5-0),-4.4408920985006264e-17
Dihydroxyacetone_kinase,-4.4408920985006264e-17
Lactate_CoA_transferase_(acetyl-CoA),-4.4408920985006264e-17
NAD(P)_transhydrogenase,-4.4408920985006264e-17
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),-4.4408920985006264e-17
Acyl-CoA_dehydrogenase_(octanoyl-CoA),-4.4408920985006264e-17
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),-4.4408920985006264e-17
Acyl-CoA_dehydrogenase_(butanoyl-CoA),-4.4408920985006264e-17
