feature,mean_importance
Phosphoenolpyruvate_carboxylase,-4.4408920985006264e-17
Lactose-galactose_antiporter,-3.3306690738754695e-17
2-Oxoglutarate_dehydrogenase,-3.3306690738754695e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),-3.3306690738754695e-17
Propionyl-CoA_carboxylase,-3.3306690738754695e-17
Lactate_racemase,-3.3306690738754695e-17
D-lactate_dehydrogenase,-2.2204460492503132e-17
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),-2.2204460492503132e-17
UDPglucose--hexose-1-phosphate_uridylyltransferase,-2.2204460492503132e-17
Galactokinase,-2.2204460492503132e-17
Acryloyl-CoA_reductase,-2.2204460492503132e-17
Aspartate_transaminase,-2.2204460492503132e-17
Methylmalonyl-CoA_mutase,-2.2204460492503132e-17
Acetyl-CoA_synthetase,-2.2204460492503132e-17
Xylulokinase,-2.2204460492503132e-17
Methylmalonyl-CoA_epimerase,-2.2204460492503132e-17
Lactaldehyde_dehydrogenase,-2.2204460492503132e-17
Succinyl-CoA-acetate_CoA_transferase,-2.2204460492503132e-17
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),-2.2204460492503132e-17
Phosphoenolpyruvate_carboxykinase_(ATP),-2.2204460492503132e-17
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),-2.2204460492503132e-17
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),-2.2204460492503132e-17
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),-2.2204460492503132e-17
complex_Acyl-CoA_Hydrolase_(C5-0),-2.2204460492503132e-17
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),-2.2204460492503132e-17
Succinate-semialdehyde_dehydrogenase_(NAD),-2.2204460492503132e-17
Alcohol_dehydrogenase_(ethanol),-2.2204460492503132e-17
Citrate_synthase,-1.1102230246251566e-17
Ribose-5-phosphate_isomerase,-1.1102230246251566e-17
Pyruvate_formate_lyase,-1.1102230246251566e-17
Acetyl-CoA_C-acetyltransferase,-1.1102230246251566e-17
Tagatose-6-phosphate_kinase,-1.1102230246251566e-17
